Age,Gender,Living_Status,Credit_Amt>20000,Credit_overdue,Car_two_wheeler,Residence,Credit_default,Stable_Income,Employment_Tenure,Monthly_Income,Alternative_Source,Loan_repayment,Loan_type,Loan_default,Loan_default_times,Credit_card_inquires,Collateral_asset,Financial_Counselling,Financial_budgeting,Credit_rating_awareness,Bank_name,Bank_tenure,Loan_services_usage,Interaction_time,Interest_rate_satisfaction,Digital_lending,Digital_leding_frequency,Recommendation_likelihood,loan_processing_delays,Financial_advice,churn_possibility,Reasons_for_churn
42,Male,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,47341,No,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,4,No,Rarely,No,Better loan terms and conditions elsewhere
26,Male,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,35000,Yes,No,N/A,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,4,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
42,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,No,No,6 months to 1 year,44276,No,Yes,Personal loans,No,Once or more than once,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
39,Male,Single,No,No,No,Tier 1 City,Yes,No,1 year to 3 years,71366,No,Yes,Business loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,3,Yes,Frequently,No,Better loan terms and conditions elsewhere
32,Male,Single,Yes,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,54695,No,Yes,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
32,Male,"Conjugal (Married, Live-in, Co live)",Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,87977,Yes,Yes,Business loans,Yes,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
30,Female,Single,Yes,No,No,Rural Area,Yes,No,6 months to 1 year,24211,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,2,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
31,Male,Single,Yes,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,75031,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,2,No,Occasionally,No,Lower interest rates elsewhere
34,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,6 months to 1 year,89418,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
42,Female,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,76942,No,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,2,No,Rarely,No,Better loan terms and conditions elsewhere
30,Male,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,35266,Yes,No,N/A,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,4,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
27,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,6 months to 1 year,83224,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
35,Male,Single,Yes,No,No,Tier 1 City,Yes,No,6 months to 1 year,64145,No,Yes,Business loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,2,Yes,Frequently,No,Better loan terms and conditions elsewhere
26,Female,Single,No,No,Yes,Tier 1 City,No,Yes,1 year to 3 years,89493,No,No,N/A,No,Never,More than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
28,Male,Single,Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,46168,Yes,No,N/A,Yes,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
40,Female,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,73634,Yes,No,N/A,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,4,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
37,Male,Single,No,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,32916,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Lower interest rates elsewhere
25,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,1 year to 3 years,86954,Yes,Yes,Business loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
35,Male,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,48701,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,2,No,Rarely,No,Better loan terms and conditions elsewhere
40,Male,"Conjugal (Married, Live-in, Co live)",No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,88853,Yes,Yes,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,3,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
37,Female,Single,No,No,No,Rural Area,No,No,6 months to 1 year,82909,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,4,No,Rarely,No,Lower interest rates elsewhere
38,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,6 months to 1 year,27029,No,Yes,Personal loans,Yes,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,3,Yes,Frequently,No,Better loan terms and conditions elsewhere
27,Female,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,80768,No,Yes,N/A,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
40,Female,Single,No,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,25375,Yes,No,Business loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
25,Male,Single,No,No,No,Rural Area,Yes,No,1 year to 3 years,19761,Yes,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,4,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
26,Male,Single,No,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,25027,No,Yes,Business loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,3,No,Occasionally,No,Lower interest rates elsewhere
29,Male,Single,Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,42847,Yes,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
39,Male,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,77585,No,No,N/A,No,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Better loan terms and conditions elsewhere
28,Female,Single,Yes,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,69014,Yes,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,3,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
29,Female,Single,No,No,No,Rural Area,No,No,1 year to 3 years,88066,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,4,No,Rarely,No,Lower interest rates elsewhere
42,Male,Single,Yes,No,No,Tier 1 City,Yes,No,1 year to 3 years,68149,No,Yes,Personal loans,Yes,Never,Less than 5,Yes,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,5,Yes,Frequently,No,Better loan terms and conditions elsewhere
29,Male,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,47440,No,Yes,Personal loans,No,Never,More than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
37,Male,Single,No,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,73726,Yes,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,3,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
37,Female,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,51243,Yes,No,N/A,No,Once or more than once,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,3,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
34,Male,Single,No,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,21855,No,Yes,Business loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,3,No,Occasionally,No,Lower interest rates elsewhere
27,Female,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,22236,Yes,No,N/A,No,Once or more than once,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
38,Female,Single,Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,82550,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,4,No,Rarely,No,Better loan terms and conditions elsewhere
27,Male,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,34303,Yes,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,5,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
40,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,1 year to 3 years,67680,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
34,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,6 months to 1 year,45800,No,Yes,Business loans,Yes,Never,Less than 5,Yes,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,5,Yes,Frequently,No,Better loan terms and conditions elsewhere
28,Male,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,57564,No,No,N/A,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
32,Female,Single,No,Yes,Yes,Rural Area,Yes,Yes,1 year to 3 years,56287,Yes,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,2,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
32,Female,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,40000,Yes,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,4,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
32,Female,Single,No,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,91190,No,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,4,No,Occasionally,No,Lower interest rates elsewhere
32,Male,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,29377,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
40,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,49680,No,No,N/A,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,2,No,Rarely,No,Better loan terms and conditions elsewhere
32,Male,Single,No,Yes,Yes,Tier 1 City,No,Yes,1 year to 3 years,49787,Yes,No,Business loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,3,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
27,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,1 year to 3 years,47074,No,No,Personal loans,No,Never,More than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,4,No,Rarely,No,Lower interest rates elsewhere
36,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,Yes,No,1 year to 3 years,26855,No,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,4,Yes,Frequently,No,Better loan terms and conditions elsewhere
42,Male,Single,Yes,No,Yes,Tier 1 City,No,Yes,1 year to 3 years,88842,No,Yes,Personal loans,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
41,Male,"Conjugal (Married, Live-in, Co live)",Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,39683,Yes,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,2,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
32,Male,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,30080,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,5,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
26,Male,Single,No,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,88185,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,4,No,Occasionally,No,Lower interest rates elsewhere
28,Male,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,60741,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
25,Male,Single,No,No,No,Tier 1 City,No,Yes,6 months to 1 year,45631,No,No,N/A,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,2,No,Rarely,No,Better loan terms and conditions elsewhere
42,Female,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,32020,Yes,No,N/A,No,Never,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,3,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
38,Female,Single,No,No,No,Rural Area,No,No,1 year to 3 years,50040,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,4,No,Rarely,No,Lower interest rates elsewhere
29,Male,Single,No,No,No,Tier 1 City,Yes,No,1 year to 3 years,64984,No,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,3,Yes,Frequently,No,Better loan terms and conditions elsewhere
36,Female,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,62190,No,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
30,Male,Single,No,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,22925,Yes,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,3,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
31,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,Yes,No,1 year to 3 years,65344,Yes,No,N/A,No,Never,Less than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,4,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
41,Female,"Conjugal (Married, Live-in, Co live)",No,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,34719,No,Yes,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,1,No,Occasionally,No,Lower interest rates elsewhere
35,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,6 months to 1 year,28459,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
42,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,No,Yes,1 year to 3 years,30500,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Better loan terms and conditions elsewhere
26,Female,Single,Yes,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,80380,Yes,Yes,Personal loans,No,Once or more than once,Less than 5,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,3,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
39,Female,Single,No,No,No,Rural Area,No,No,1 year to 3 years,76297,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Lower interest rates elsewhere
34,Male,Single,No,No,No,Tier 1 City,Yes,No,6 months to 1 year,20425,No,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,5,Yes,Frequently,No,Better loan terms and conditions elsewhere
33,Male,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,68921,No,No,N/A,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
41,Female,Single,Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,57492,Yes,Yes,Personal loans,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
37,Female,Single,No,No,No,Rural Area,Yes,No,6 months to 1 year,67657,Yes,No,N/A,No,Never,More than 5,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,3,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
39,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,Yes,Tier 2 City,No,Yes,1 year to 3 years,54109,No,Yes,Personal loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,2,No,Occasionally,No,Lower interest rates elsewhere
31,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,6 months to 1 year,21481,Yes,No,N/A,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,2,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
27,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,55208,No,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Better loan terms and conditions elsewhere
27,Male,Single,No,Yes,Yes,Tier 1 City,No,Yes,6 months to 1 year,33117,Yes,Yes,Business loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Frequently,5,Yes,Occasionally,No,"Lower interest rates elsewhere, Dissatisfaction with our financial institution's services"
39,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,No,6 months to 1 year,61557,No,Yes,Personal loans,No,Never,Less than 5,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Rarely,3,No,Rarely,No,Lower interest rates elsewhere
27,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,1 year to 3 years,90109,No,No,N/A,Yes,Never,Less than 5,Yes,No,I maintain a budget,Yes,SBI,Less than 3 Years,None,More than 1 Hour,Neutral,Yes,Rarely,4,Yes,Frequently,No,Better loan terms and conditions elsewhere
25,Female,Single,No,No,Yes,Tier 1 City,No,Yes,6 months to 1 year,62109,No,Yes,Personal loans,No,Never,Less than 5,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Rarely,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere"
27,Female,Single,Yes,Yes,Yes,Rural Area,Yes,Yes,6 months to 1 year,18888,Yes,No,N/A,Yes,Never,Less than 5,No,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,2,Yes,Frequently,Yes,Better loan terms and conditions elsewhere
35,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,Yes,No,6 months to 1 year,31219,Yes,Yes,Business loans,No,Never,Less than 5,No,No,I maintain a budget,No,Canara bank ,More than 3 Years,None,Less than 1 Hour,Neutral,No,Almost Never,2,No,Rarely,No,"Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
33,Female,"Conjugal (Married, Live-in, Co live)",No,No,Yes,Tier 2 City,No,Yes,6 months to 1 year,40003,No,Yes,Business loans,No,Never,Less than 5,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,4,No,Occasionally,No,Lower interest rates elsewhere
36,Male,Single,Yes,No,No,Tier 1 City,No,Yes,6 months to 1 year,66634,Yes,Yes,Personal loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Occasionally,Yes,"Lower interest rates elsewhere, Better loan terms and conditions elsewhere, Recommendations from friends or family to switch"
40,Male,Single,No,No,No,Tier 1 City,No,Yes,1 year to 3 years,87435,No,Yes,Business loans,No,Never,Less than 5,No,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,None,Less than 1 Hour,Very satisfied,No,Almost Never,2,No,Rarely,No,Better loan terms and conditions elsewhere
